Jawa Barat, latitude, longtidude
Kota Bogor, -6.600000, 106.800000
Kota Sukabumi, -6.924050, 106.922203
Kota Bandung, -6.914744, 107.609811
Kota Cirebon, -6.715534, 108.564003
Kota Bekasi, -6.233333, 107.000000
Kota Depok, -6.390000, 106.830000
Kota Cimahi, -6.880239, 107.535500
Kota Tasikmalaya, -7.327954, 108.214104
Kota Banjar, -7.366667, 108.533333
